timestamp,accX,accY,accZ
0,-0.004172308,-0.0040120278,-0.0002086154
16,-0.13899,-0.019032687,-0.0069495
32,0.027439652,0.018554451,0.0013719826
48,0.09931102,0.014248712,0.0049655507
64,-0.0432103,-0.016093202,-0.0021605152
80,0.038733482,-0.0008395957,0.0019366741
96,0.07199586,0.02276063,0.0035997932
112,0.055380654,0.012681719,0.0027690327
128,0.111938976,0.0020115627,0.005596949
144,-0.07507799,-0.0101785045,-0.0037538994
160,0.042133577,0.0018622663,0.002106679
176,0.041267153,-0.0012531038,0.0020633577
192,0.08600338,-0.008501784,0.004300169
208,0.042703904,-0.0025058268,0.0021351953
224,-0.032745887,0.010617404,-0.0016372943
240,0.0905845,0.0052470053,0.004529225
256,-0.033418838,-0.0043744203,-0.001670942
272,-0.11397129,-0.009991873,-0.005698565
288,0.0756971,0.029751124,0.0037848551
304,0.05315318,0.005404066,0.0026576591
320,0.120842144,0.023023669,0.0060421075
336,-0.039335776,-0.00991538,-0.001966789
352,-0.110559426,-0.013649935,-0.0055279713
368,0.06955809,0.007081337,0.0034779047
384,0.07562644,-0.00017868495,0.0037813222
400,-0.03594073,-0.005631251,-0.0017970365
416,-0.011083533,0.0077721556,-0.0005541767
432,0.041458942,-0.0038577514,0.002072947
448,0.122416854,0.012242576,0.006120843
464,0.05396409,0.012483744,0.0026982045
480,-0.09436145,-0.017680805,-0.0047180722
496,-0.093459696,0.0016081678,-0.004672985
512,0.044206273,0.0051494623,0.0022103137
528,0.0716577,0.005514545,0.0035828853
544,0.0436881,-0.015712667,0.002184405
560,-0.022495132,-0.0059856377,-0.0011247566
576,0.026965221,0.0064124465,0.0013482611
592,-0.033184987,0.014134952,-0.0016592493
608,-0.07968098,-0.0022892063,-0.003984049
624,0.050451275,0.01630729,0.0025225638
640,0.11031716,-0.0010593301,0.005515858
656,0.084221736,0.007153949,0.004211087
672,-0.057685517,0.0064389124,-0.002884276
688,0.040634576,-0.0048138774,0.0020317289
704,0.04806229,0.014458455,0.0024031147
720,0.0021198015,0.0075451587,0.000105990075
736,-0.119967304,-0.0092494935,-0.005998365
752,-0.05819528,-0.009106554,-0.0029097642
768,0.053607423,-0.0045022094,0.0026803713
784,0.10020436,0.02777423,0.0050102184
800,0.025942333,0.008912859,0.0012971166
816,-0.06383126,-0.002976965,-0.003191563
832,-0.015551941,-0.0056836917,-0.000777597
848,0.031092104,0.0034879267,0.0015546052
864,-0.0091151465,0.00073565805,-0.00045575734
880,0.07209512,0.011208269,0.003604756
896,0.0025572209,0.007599125,0.00012786104
912,0.022224268,-0.005602288,0.0011112135
928,0.028523106,-0.011813659,0.0014261553
944,-0.04071533,-0.0032287247,-0.0020357666
960,0.048432417,-0.012628932,0.002421621
976,0.04546301,0.001309691,0.0022731505
992,0.021383077,-0.0029535904,0.0010691539
1008,0.04753907,0.009671389,0.0023769536
1024,0.0511175,0.024937721,0.0025558749
1040,0.08766389,-0.010679516,0.0043831947
1056,-0.046292428,0.018112607,-0.0023146213
1072,-0.027989792,-0.005129731,-0.0013994896
1088,0.07636669,0.011114757,0.0038183348
1104,0.117405035,-0.002407818,0.005870252
1120,0.038523186,0.013821035,0.0019261594
1136,-0.03983881,-0.0035691555,-0.0019919404
1152,-0.17297581,-0.017912256,-0.00864879
1168,0.014540829,-0.017919768,0.00072704145
1184,0.069118984,0.007649867,0.0034559492
1200,-0.053693227,0.00308896,-0.0026846614
1216,0.088264495,0.006463663,0.0044132248
1232,-0.013220158,0.010419977,-0.00066100794
1248,-0.012190541,0.010109898,-0.00060952705
1264,-0.026366293,-0.009047584,-0.0013183147
1280,-0.06968427,0.008982711,-0.0034842135
1296,0.024384446,0.0028913943,0.0012192223
1312,-0.0029206155,0.00020539094,-0.00014603078
1328,-0.040865064,-0.0030966944,-0.0020432533
1344,0.023741776,0.003067335,0.0011870888
1360,0.039519157,-0.022349417,0.001975958
1376,0.16960095,0.015105031,0.008480048
1392,-0.008073752,-0.01444684,-0.0004036876
1408,-0.038284287,0.012434928,-0.0019142143
1424,0.088357024,0.024696533,0.004417851
1440,0.0778169,0.016301073,0.0038908452
1456,0.029086705,0.0005239963,0.0014543353
1472,-0.06796151,-0.0168763,-0.0033980755
1488,-0.083081074,-0.014883918,-0.004154054
1504,0.089936785,0.028420098,0.0044968394
1520,-0.0025336675,-0.007175341,-0.00012668337
1536,-0.02325052,-0.025881005,-0.0011625261
1552,0.026233384,0.012924993,0.0013116692
1568,0.017688565,0.016773889,0.0008844283
1584,0.022182208,0.018810377,0.0011091104
1600,0.020047266,0.012388207,0.0010023633
1616,-0.025617633,0.009453433,-0.0012808817
1632,0.034744557,0.0040037967,0.0017372279
1648,-0.09449099,-0.030212056,-0.0047245496
1664,-0.015181816,-0.0012393713,-0.0007590908
1680,0.05534869,0.0117505975,0.0027674346
1696,0.023593727,0.0010066723,0.0011796864
1712,0.0491979,0.003111429,0.002459895
1728,-0.052698936,-0.014911074,-0.002634947
1744,-0.09863975,-0.019881364,-0.0049319877
1760,0.058641113,0.024245597,0.0029320556
1776,0.10173533,0.028916996,0.0050867666
1792,-0.010484605,-0.0010749318,-0.00052423024
1808,-0.10005968,-0.0071907323,-0.0050029843
1824,0.03934755,-0.005873825,0.0019673777
1840,0.07282864,0.013708613,0.0036414322
1856,0.008176377,0.01841413,0.00040881886
1872,-0.092611775,-0.024553485,-0.004630589
1888,-0.0247613,0.0021627028,-0.0012380651
1904,0.059398185,0.011330041,0.0029699092
1920,0.109516345,0.0162277,0.0054758172
1936,-0.055676755,0.010860501,-0.0027838377
1952,-0.017685201,0.018591663,-0.00088426005
1968,-0.0335467,-0.0056895074,-0.0016773351
1984,-0.07739631,-0.001007894,-0.0038698155
