timestamp,accX,accY,accZ
0,-0.010016,-0.00070143887,-0.00050080003
16,0.11742549,0.011990242,0.0058712745
32,-1.5174644,-0.15351659,-0.07587322
48,0.081272304,0.0076832967,0.004063615
64,-0.16989505,-0.019057099,-0.008494752
80,-0.07910486,0.006135189,-0.003955243
96,-1.1797744,-0.11090526,-0.05898872
112,-0.0393303,-0.0038187194,-0.001966515
128,-0.297626,-0.010310134,-0.0148813
144,0.7853338,0.060201846,0.03926669
160,0.08564757,0.0049386825,0.0042823786
176,0.015872128,0.0020072502,0.00079360645
192,-0.34396344,-0.035110563,-0.017198173
208,-0.4097069,-0.035263058,-0.020485345
224,-0.14613397,-0.0082735885,-0.0073066987
240,-0.78431743,-0.07485029,-0.039215874
256,-0.025928516,-0.01376732,-0.0012964258
272,-0.28184807,-0.018583767,-0.014092403
288,0.17834942,0.012291754,0.008917471
304,-2.3287604,-0.2329197,-0.116438024
320,0.18629222,0.023092236,0.009314611
336,0.13205908,-0.009966804,0.006602954
352,0.09353652,0.0066026095,0.004676826
368,0.5355733,0.033144087,0.026778666
384,-0.017420301,-0.0034599318,-0.0008710151
400,0.052483033,-0.014892849,0.0026241518
416,-0.002167441,0.011220833,-0.00010837205
432,0.14617437,0.009084343,0.0073087187
448,-0.06359621,-0.013414663,-0.0031798107
464,-0.19473311,0.0019655582,-0.009736656
480,0.05640731,0.003486507,0.0028203656
496,-0.12874733,-0.004767102,-0.0064373664
512,-0.14851682,-0.026497135,-0.007425841
528,-0.75231737,-0.08580634,-0.03761587
544,0.4196354,0.040221736,0.02098177
560,0.15014577,0.00819972,0.0075072884
576,-0.3807157,-0.044456784,-0.019035785
592,-0.011819957,-0.003143928,-0.00059099786
608,0.35330632,0.02731197,0.017665317
624,-0.22155689,-0.038666025,-0.011077845
640,-1.4729981,-0.14382106,-0.073649906
656,-0.021445548,-0.003507345,-0.0010722774
672,-0.029334495,-0.009071983,-0.0014667248
688,-0.14595897,0.0018438883,-0.007297949
704,0.09700981,0.016293589,0.0048504905
720,-0.106810406,-0.015712783,-0.0053405203
736,-0.017716473,-0.005001753,-0.0008858237
752,-0.0006529247,-0.023534799,-3.2646236e-05
768,-0.08392439,-0.0184835,-0.0041962196
784,0.0032107742,0.0027102914,0.00016053871
800,-0.83900154,-0.06926607,-0.041950077
816,-0.62412876,-0.070120856,-0.031206438
832,0.09717135,0.0056045293,0.004858568
848,0.21599692,0.02124868,0.010799847
864,-0.50825816,-0.04896506,-0.025412908
880,-0.06111914,-0.017779829,-0.003055957
