timestamp,accX,accY,accZ
0,0.051749334,-0.002124262,0.0025874667
16,1.1292973,0.12127521,0.056464862
32,2.8274333,0.30047286,0.14137167
48,-0.13498378,0.004268176,-0.006749189
64,-0.55108196,-0.045340866,-0.027554099
80,-1.6615016,-0.16227034,-0.083075084
96,0.28738785,0.031641103,0.014369393
112,0.08212043,0.022784006,0.004106022
128,0.6477686,0.051400047,0.03238843
144,3.0792503,0.32060128,0.15396252
160,-0.053122494,-0.004008137,-0.0026561248
176,-0.63233405,-0.07246037,-0.031616703
192,-2.8497539,-0.29679537,-0.14248769
208,0.1557562,-0.0014805654,0.00778781
224,-0.065137655,-0.00086885365,-0.0032568828
240,0.47861066,0.067085624,0.023930533
256,1.4123636,0.1362445,0.07061818
272,-0.38144267,-0.046684027,-0.019072134
288,-0.9138052,-0.07929586,-0.04569026
304,0.8957353,0.09070853,0.044786766
320,0.041719873,0.016715627,0.0020859938
336,-0.09946669,-0.019705124,-0.0049733347
352,0.99295044,0.10582087,0.04964752
368,1.2108523,0.13923702,0.060542613
384,-0.18362667,-0.028861895,-0.009181334
400,-0.11085585,-0.0142931985,-0.0055427924
416,1.3310645,0.12949055,0.06655323
432,0.036072407,0.011102536,0.0018036204
448,-0.018981935,0.010708293,-0.0009490968
464,-0.7260523,-0.07942289,-0.036302615
480,1.0458171,0.12956224,0.052290857
496,-0.09911667,-0.009346866,-0.0049558333
512,-0.33698994,-0.039375473,-0.016849497
528,-1.959215,-0.18164481,-0.097960755
544,-0.07724705,-0.006324048,-0.0038623528
560,-0.10948269,-0.014710482,-0.005474135
576,-0.2172018,-0.027143735,-0.01086009
592,3.883657,0.4093878,0.19418286
608,-0.23400956,-0.033339843,-0.011700478
624,-0.37720874,-0.026462585,-0.018860437
640,1.2930737,0.12119105,0.06465369
656,-0.06700219,-0.012927553,-0.0033501096
672,-0.03756,-0.004575423,-0.0018780001
688,0.8104748,0.085701734,0.04052374
704,0.25692925,0.009245591,0.012846462
720,-0.3106542,-0.03650976,-0.01553271
736,0.027012236,0.012992124,0.0013506118
752,1.946032,0.20484877,0.0973016
768,-0.13358705,-0.016261993,-0.0066793524
784,-0.13267161,-0.025020145,-0.0066335807
800,-0.83155686,-0.08100038,-0.041577842
816,0.05375186,0.01371052,0.002687593
832,-0.33587256,-0.031771723,-0.01679363
848,-0.1184318,0.0022106376,-0.00592159
864,-0.68930006,-0.07162762,-0.034465004
880,-0.16001368,-0.02918109,-0.008000684
896,-0.18020722,-0.023968652,-0.0090103615
912,-0.58710724,-0.058695376,-0.029355362
928,4.487249,0.44169044,0.22436245
944,-0.00864957,-0.006060937,-0.0004324785
960,-0.052516688,0.004365481,-0.0026258344
976,1.2496374,0.11684036,0.06248187
992,-0.13792866,-0.027123986,-0.0068964334
1008,-0.059934452,0.002106214,-0.0029967227
1024,0.033319354,0.009785856,0.0016659677
1040,-1.1101032,-0.12138217,-0.055505164
1056,-0.011745914,0.0058997413,-0.0005872957
1072,0.3836101,0.027054992,0.019180505
1088,3.1430047,0.3070652,0.15715024
1104,-0.28543243,-0.03958741,-0.014271622
1120,-0.08995552,-0.013579556,-0.0044977763
1136,-0.98209304,-0.092568725,-0.049104653
1152,-0.91010976,-0.08831237,-0.04550549
1168,-0.37983727,-0.046120986,-0.018991863
1184,0.11667159,0.013561666,0.0058335797
1200,-0.16371246,-0.01255027,-0.008185623
1216,-0.1270578,-0.0031512724,-0.0063528903
1232,-0.072821304,-0.0036894062,-0.0036410652
1248,-0.85794985,-0.078418,-0.042897493
1264,4.497164,0.45036444,0.2248582
1280,-0.12804055,-0.020952702,-0.006402028
1296,-0.04076741,-0.0024585696,-0.0020383706
1312,1.2835962,0.1405157,0.06417981
1328,-0.07954238,0.0047240425,-0.0039771195
1344,-0.13890469,-0.039705057,-0.0069452347
1360,0.042127106,0.010502022,0.0021063553
1376,-0.9865693,-0.103599146,-0.049328465
1392,-0.11725384,-0.007719253,-0.005862692
1408,0.23972434,0.010313395,0.011986217
